2025-11-13 13:59:07.113 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:52 - 使用数据库文件路径: D:\PycharmProjects\XHS-OCR\db\ocr_data.db
2025-11-13 13:59:07.122 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:120 - 表 s_xhs_video_data_overview_bottom_ocr 前3行数据示例: [(1, '1894230222988058625', '172.25.1.41', '1944609540455948358', '这个嘎子姐的星星卡点太美萌了', 'http://xhslink.com/o/9lIlKBscMet', '20251112', '视频', '3', '0', '1', '0', '0')]
2025-11-13 13:59:07.122 | INFO     | db.merge_sync:sync_explore_data_merge_to_remote:133 - 开始进行 related 类型的数据融合，关联键: 账号ID, 设备IP, 采集日期, 链接
2025-11-13 13:59:07.122 | INFO     | db.merge_sync:sync_explore_data_merge_to_remote:134 - 融合后的表结构包含 20 列: ['2秒退出率', '封面点击率', '数据ID', '数据来源', '涨粉数', '内容类型', '弹幕数', '收藏数', '采集日期', '点赞数', '平均观看时长', '分享数', '账号ID', '评论数', '完播率', '曝光数', '链接', '设备IP', '作品标题', '观看数']
2025-11-13 13:59:07.122 | INFO     | db.merge_sync:merge_table_data_related:235 - 关联融合完成，共关联 1 个项目（具有来自多个表的数据）
2025-11-13 13:59:07.122 | INFO     | db.merge_sync:sync_explore_data_merge_to_remote:138 - 使用关联融合方式处理数据，融合后共有 1 行数据
2025-11-13 13:59:07.122 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:145 - 融合后前3行数据示例: [['49%', '10.4%', 1, '1894230222988058625', '0', '视频', '0', '1', '20251112', '3', '5.2', '0', '1944609540455948358', '0', '16.3%', '279', 'http://xhslink.com/o/9lIlKBscMet', '172.25.1.41', '这个嘎子姐的星星卡点太美萌了', '59']]
2025-11-13 13:59:07.127 | DEBUG    | db.merge_sync:sync_to_local_sqlite:357 - 连接到SQLite数据库: D:\PycharmProjects\XHS-OCR\db\ocr_data.db
2025-11-13 13:59:07.128 | DEBUG    | db.merge_sync:sync_to_local_sqlite:367 - 表 s_xhs_video_data_overview_ocr 是否存在: True
2025-11-13 13:59:07.128 | INFO     | db.merge_sync:sync_to_local_sqlite:375 - 表 s_xhs_video_data_overview_ocr 已存在，检查是否需要新增字段...
2025-11-13 13:59:07.128 | DEBUG    | db.merge_sync:sync_to_local_sqlite:399 - 使用唯一键约束字段: "账号ID", "设备IP", "采集日期", "链接"
2025-11-13 13:59:07.128 | DEBUG    | db.merge_sync:sync_to_local_sqlite:412 - SQLite插入SQL:

                        INSERT OR IGNORE INTO s_xhs_video_data_overview_ocr ("2秒退出率", "封面点击率", "数据ID", "数据来源", "涨粉数", "内容类型", "弹幕数", "收藏数", "采集日期", "点赞数", "平均观看时长", "分享数", "账号ID", "评论数", "完播率", "曝光数", "链接", "设备IP", "作品标题", "观看数")
                        VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
                    
2025-11-13 13:59:07.128 | DEBUG    | db.merge_sync:sync_to_local_sqlite:419 - 准备插入 1 行数据
2025-11-13 13:59:07.128 | DEBUG    | db.merge_sync:sync_to_local_sqlite:423 - SQL语句影响的行数: 0
2025-11-13 13:59:07.128 | INFO     | db.merge_sync:sync_to_local_sqlite:427 - 成功同步 1 条记录到本地SQLite数据库，表名: s_xhs_video_data_overview_ocr
2025-11-13 13:59:07.128 | DEBUG    | db.merge_sync:sync_to_local_sqlite:432 - 验证: 表 s_xhs_video_data_overview_ocr 中现有 1 行数据
2025-11-13 13:59:07.128 | DEBUG    | db.merge_sync:sync_to_local_sqlite:438 - 表 s_xhs_video_data_overview_ocr 数据示例: [(1, '0', '0', '279', '视频', '0', '1944609540455948358', '0', '1', '5.2', '49%', 20251112, '59', '这个嘎子姐的星星卡点太美萌了', '3', '1894230222988058625', '10.4%', '172.25.1.41', 'http://xhslink.com/o/9lIlKBscMet', '16.3%')]
2025-11-13 13:59:07.129 | INFO     | db.merge_sync:sync_explore_data_merge_to_remote:169 - 融合数据已保存到本地SQLite数据库，表名: s_xhs_video_data_overview_ocr，融合类型: related
2025-11-13 13:59:07.129 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:52 - 使用数据库文件路径: D:\PycharmProjects\XHS-OCR\db\ocr_data.db
2025-11-13 13:59:07.129 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:69 - 数据库中已存在的表: ['s_xhs_note_data_overview_ocr', 'sqlite_sequence', 's_xhs_note_traffic_analysis_ocr', 's_xhs_user_info_ocr', 's_xhs_video_data_overview_bottom_ocr', 's_xhs_video_data_overview_top_ocr', 's_xhs_video_traffic_analysis_ocr', 's_xhs_traffic_analysis_ocr', 's_xhs_video_data_overview_ocr', 's_xhs_data_overview_ocr', 's_xhs_merged_data_ocr']
2025-11-13 13:59:07.129 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:92 - 执行查询: SELECT * FROM s_xhs_note_data_overview_ocr WHERE 采集日期 >= ? 参数: 20251110
2025-11-13 13:59:07.129 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:100 - 查询结果行数: 1
2025-11-13 13:59:07.129 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:104 - 列名: ['数据ID', '数据来源', '设备IP', '账号ID', '作品标题', '链接', '采集日期', '内容类型', '曝光数', '观看数', '封面点击率', '平均观看时长', '涨粉数', '点赞数', '评论数', '收藏数', '分享数']
2025-11-13 13:59:07.129 | INFO     | db.merge_sync:sync_explore_data_merge_to_remote:116 - 表 s_xhs_note_data_overview_ocr 查询到 1 行数据
2025-11-13 13:59:07.129 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:120 - 表 s_xhs_note_data_overview_ocr 前3行数据示例: [(2, '1894230222988058625', '172.25.1.41', '1944609540455948358', '嘎子姐的改装脚测评', 'http://xhslink.com/o/2szuAHmkUXy', '20251112', '图文', '3631', '723', '19.9%', '24.1', '0', '11', '9', '4', '2')]
2025-11-13 13:59:07.130 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:92 - 执行查询: SELECT * FROM s_xhs_video_data_overview_ocr WHERE 采集日期 >= ? 参数: 20251110
2025-11-13 13:59:07.130 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:100 - 查询结果行数: 1
2025-11-13 13:59:07.130 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:104 - 列名: ['数据ID', '涨粉数', '分享数', '曝光数', '内容类型', '评论数', '账号ID', '弹幕数', '收藏数', '平均观看时长', '2秒退出率', '采集日期', '观看数', '作品标题', '点赞数', '数据来源', '封面点击率', '设备IP', '链接', '完播率']
2025-11-13 13:59:07.130 | INFO     | db.merge_sync:sync_explore_data_merge_to_remote:116 - 表 s_xhs_video_data_overview_ocr 查询到 1 行数据
2025-11-13 13:59:07.130 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:120 - 表 s_xhs_video_data_overview_ocr 前3行数据示例: [(1, '0', '0', '279', '视频', '0', '1944609540455948358', '0', '1', '5.2', '49%', 20251112, '59', '这个嘎子姐的星星卡点太美萌了', '3', '1894230222988058625', '10.4%', '172.25.1.41', 'http://xhslink.com/o/9lIlKBscMet', '16.3%')]
2025-11-13 13:59:07.130 | INFO     | db.merge_sync:sync_explore_data_merge_to_remote:133 - 开始进行 unrelated 类型的数据融合，关联键: 数据ID
2025-11-13 13:59:07.130 | INFO     | db.merge_sync:sync_explore_data_merge_to_remote:134 - 融合后的表结构包含 20 列: ['2秒退出率', '封面点击率', '数据ID', '数据来源', '涨粉数', '内容类型', '弹幕数', '收藏数', '采集日期', '点赞数', '平均观看时长', '分享数', '账号ID', '评论数', '完播率', '曝光数', '链接', '设备IP', '作品标题', '观看数']
2025-11-13 13:59:07.130 | INFO     | db.merge_sync:merge_table_data_unrelated:264 - 非关联融合完成，共处理 2 行数据，其中包括所有原始数据行（即使无关联）
2025-11-13 13:59:07.130 | INFO     | db.merge_sync:sync_explore_data_merge_to_remote:141 - 使用非关联融合方式处理数据，融合后共有 2 行数据
2025-11-13 13:59:07.130 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:145 - 融合后前3行数据示例: [['', '19.9%', 2, '1894230222988058625', '0', '图文', '', '4', '20251112', '11', '24.1', '2', '1944609540455948358', '9', '', '3631', 'http://xhslink.com/o/2szuAHmkUXy', '172.25.1.41', '嘎子姐的改装脚测评', '723'], ['49%', '10.4%', 1, '1894230222988058625', '0', '视频', '0', '1', 20251112, '3', '5.2', '0', '1944609540455948358', '0', '16.3%', '279', 'http://xhslink.com/o/9lIlKBscMet', '172.25.1.41', '这个嘎子姐的星星卡点太美萌了', '59']]
2025-11-13 13:59:07.130 | DEBUG    | db.merge_sync:sync_to_local_sqlite:357 - 连接到SQLite数据库: D:\PycharmProjects\XHS-OCR\db\ocr_data.db
2025-11-13 13:59:07.130 | DEBUG    | db.merge_sync:sync_to_local_sqlite:367 - 表 s_xhs_data_overview_ocr 是否存在: True
2025-11-13 13:59:07.130 | INFO     | db.merge_sync:sync_to_local_sqlite:375 - 表 s_xhs_data_overview_ocr 已存在，检查是否需要新增字段...
2025-11-13 13:59:07.131 | DEBUG    | db.merge_sync:sync_to_local_sqlite:399 - 使用唯一键约束字段: "数据ID"
2025-11-13 13:59:07.131 | DEBUG    | db.merge_sync:sync_to_local_sqlite:412 - SQLite插入SQL:

                        INSERT OR IGNORE INTO s_xhs_data_overview_ocr ("2秒退出率", "封面点击率", "数据ID", "数据来源", "涨粉数", "内容类型", "弹幕数", "收藏数", "采集日期", "点赞数", "平均观看时长", "分享数", "账号ID", "评论数", "完播率", "曝光数", "链接", "设备IP", "作品标题", "观看数")
                        VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
                    
2025-11-13 13:59:07.131 | DEBUG    | db.merge_sync:sync_to_local_sqlite:419 - 准备插入 2 行数据
2025-11-13 13:59:07.131 | DEBUG    | db.merge_sync:sync_to_local_sqlite:423 - SQL语句影响的行数: 0
2025-11-13 13:59:07.131 | INFO     | db.merge_sync:sync_to_local_sqlite:427 - 成功同步 2 条记录到本地SQLite数据库，表名: s_xhs_data_overview_ocr
2025-11-13 13:59:07.132 | DEBUG    | db.merge_sync:sync_to_local_sqlite:432 - 验证: 表 s_xhs_data_overview_ocr 中现有 2 行数据
2025-11-13 13:59:07.132 | DEBUG    | db.merge_sync:sync_to_local_sqlite:438 - 表 s_xhs_data_overview_ocr 数据示例: [(1, '0', '0', '279', '视频', '0', '1944609540455948358', '0', '1', '5.2', '49%', 20251112, '59', '这个嘎子姐的星星卡点太美萌了', '3', '1894230222988058625', '10.4%', '172.25.1.41', 'http://xhslink.com/o/9lIlKBscMet', '16.3%'), (2, '0', '2', '3631', '图文', '9', '1944609540455948358', '', '4', '24.1', '', 20251112, '723', '嘎子姐的改装脚测评', '11', '1894230222988058625', '19.9%', '172.25.1.41', 'http://xhslink.com/o/2szuAHmkUXy', '')]
2025-11-13 13:59:07.132 | INFO     | db.merge_sync:sync_explore_data_merge_to_remote:169 - 融合数据已保存到本地SQLite数据库，表名: s_xhs_data_overview_ocr，融合类型: unrelated
2025-11-13 13:59:07.132 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:52 - 使用数据库文件路径: D:\PycharmProjects\XHS-OCR\db\ocr_data.db
2025-11-13 13:59:07.133 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:69 - 数据库中已存在的表: ['s_xhs_note_data_overview_ocr', 'sqlite_sequence', 's_xhs_note_traffic_analysis_ocr', 's_xhs_user_info_ocr', 's_xhs_video_data_overview_bottom_ocr', 's_xhs_video_data_overview_top_ocr', 's_xhs_video_traffic_analysis_ocr', 's_xhs_traffic_analysis_ocr', 's_xhs_video_data_overview_ocr', 's_xhs_data_overview_ocr', 's_xhs_merged_data_ocr']
2025-11-13 13:59:07.133 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:92 - 执行查询: SELECT * FROM s_xhs_note_traffic_analysis_ocr WHERE 采集日期 >= ? 参数: 20251110
2025-11-13 13:59:07.133 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:100 - 查询结果行数: 1
2025-11-13 13:59:07.133 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:104 - 列名: ['数据ID', '数据来源', '设备IP', '账号ID', '作品标题', '链接', '采集日期', '内容类型', '观看来源-首页推荐', '观看来源-搜索', '观看来源-关注页面', '观看来源-其他来源', '观看转化率', '观看互动率', '曝光数', '观看数', '占总曝光', '占总观看', '平均观看时长', '点赞数', '评论数', '收藏数']
2025-11-13 13:59:07.133 | INFO     | db.merge_sync:sync_explore_data_merge_to_remote:116 - 表 s_xhs_note_traffic_analysis_ocr 查询到 1 行数据
2025-11-13 13:59:07.133 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:120 - 表 s_xhs_note_traffic_analysis_ocr 前3行数据示例: [(1, '1894230222988058625', '172.25.1.41', '1944609540455948358', '嘎子姐换脚教程来啦', 'http://xhslink.com/o/8sOLOcSMMhF', '20251112', '图文', '6.6%', '3.3%', '2%', '15.7%', '14.6%', '1.8%', '752', '110', '80.3%', '72.4%', '9.3', '2', '0', '0')]
2025-11-13 13:59:07.133 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:92 - 执行查询: SELECT * FROM s_xhs_video_traffic_analysis_ocr WHERE 采集日期 >= ? 参数: 20251110
2025-11-13 13:59:07.133 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:100 - 查询结果行数: 1
2025-11-13 13:59:07.133 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:104 - 列名: ['数据ID', '数据来源', '设备IP', '账号ID', '作品标题', '链接', '采集日期', '内容类型', '观看来源-搜索', '观看来源-首页推荐', '观看来源-视频推荐', '观看来源-关注页面', '观看来源-个人主页', '观看来源-其他来源', '观看转化率', '观看互动率', '曝光数', '观看数', '占总曝光', '占总观看', '平均观看时长', '点赞数', '评论数', '收藏数']
2025-11-13 13:59:07.133 | INFO     | db.merge_sync:sync_explore_data_merge_to_remote:116 - 表 s_xhs_video_traffic_analysis_ocr 查询到 1 行数据
2025-11-13 13:59:07.133 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:120 - 表 s_xhs_video_traffic_analysis_ocr 前3行数据示例: [(1, '1894230222988058625', '172.25.1.41', '1944609540455948358', '这个嘎子姐的星星卡点太美萌了', 'http://xhslink.com/o/9lIlKBscMet', '20251112', '视频', '30.9%', '29.2%', '15.8%', '13.9%', '2.8%', '7.4%', '25%', '1%', '1194', '299', '37.3%', '30.9%', '16.7', '2', '1', '0')]
2025-11-13 13:59:07.133 | INFO     | db.merge_sync:sync_explore_data_merge_to_remote:133 - 开始进行 unrelated 类型的数据融合，关联键: 数据ID
2025-11-13 13:59:07.133 | INFO     | db.merge_sync:sync_explore_data_merge_to_remote:134 - 融合后的表结构包含 24 列: ['数据ID', '占总观看', '数据来源', '内容类型', '观看来源-关注页面', '收藏数', '占总曝光', '采集日期', '观看转化率', '点赞数', '平均观看时长', '观看互动率', '观看来源-首页推荐', '观看来源-视频推荐', '观看来源-其他来源', '账号ID', '评论数', '观看来源-个人主页', '观看来源-搜索', '曝光数', '链接', '设备IP', '作品标题', '观看数']
2025-11-13 13:59:07.134 | INFO     | db.merge_sync:merge_table_data_unrelated:264 - 非关联融合完成，共处理 2 行数据，其中包括所有原始数据行（即使无关联）
2025-11-13 13:59:07.134 | INFO     | db.merge_sync:sync_explore_data_merge_to_remote:141 - 使用非关联融合方式处理数据，融合后共有 2 行数据
2025-11-13 13:59:07.134 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:145 - 融合后前3行数据示例: [[1, '72.4%', '1894230222988058625', '图文', '2%', '0', '80.3%', '20251112', '14.6%', '2', '9.3', '1.8%', '6.6%', '', '15.7%', '1944609540455948358', '0', '', '3.3%', '752', 'http://xhslink.com/o/8sOLOcSMMhF', '172.25.1.41', '嘎子姐换脚教程来啦', '110'], [1, '30.9%', '1894230222988058625', '视频', '13.9%', '0', '37.3%', '20251112', '25%', '2', '16.7', '1%', '29.2%', '15.8%', '7.4%', '1944609540455948358', '1', '2.8%', '30.9%', '1194', 'http://xhslink.com/o/9lIlKBscMet', '172.25.1.41', '这个嘎子姐的星星卡点太美萌了', '299']]
2025-11-13 13:59:07.134 | DEBUG    | db.merge_sync:sync_to_local_sqlite:357 - 连接到SQLite数据库: D:\PycharmProjects\XHS-OCR\db\ocr_data.db
2025-11-13 13:59:07.135 | DEBUG    | db.merge_sync:sync_to_local_sqlite:367 - 表 s_xhs_traffic_analysis_ocr 是否存在: True
2025-11-13 13:59:07.135 | INFO     | db.merge_sync:sync_to_local_sqlite:375 - 表 s_xhs_traffic_analysis_ocr 已存在，检查是否需要新增字段...
2025-11-13 13:59:07.135 | DEBUG    | db.merge_sync:sync_to_local_sqlite:399 - 使用唯一键约束字段: "数据ID"
2025-11-13 13:59:07.135 | DEBUG    | db.merge_sync:sync_to_local_sqlite:412 - SQLite插入SQL:

                        INSERT OR IGNORE INTO s_xhs_traffic_analysis_ocr ("数据ID", "占总观看", "数据来源", "内容类型", "观看来源-关注页面", "收藏数", "占总曝光", "采集日期", "观看转化率", "点赞数", "平均观看时长", "观看互动率", "观看来源-首页推荐", "观看来源-视频推荐", "观看来源-其他来源", "账号ID", "评论数", "观看来源-个人主页", "观看来源-搜索", "曝光数", "链接", "设备IP", "作品标题", "观看数")
                        VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?)
                    
2025-11-13 13:59:07.135 | DEBUG    | db.merge_sync:sync_to_local_sqlite:419 - 准备插入 2 行数据
2025-11-13 13:59:07.135 | DEBUG    | db.merge_sync:sync_to_local_sqlite:423 - SQL语句影响的行数: 0
2025-11-13 13:59:07.135 | INFO     | db.merge_sync:sync_to_local_sqlite:427 - 成功同步 2 条记录到本地SQLite数据库，表名: s_xhs_traffic_analysis_ocr
2025-11-13 13:59:07.135 | DEBUG    | db.merge_sync:sync_to_local_sqlite:432 - 验证: 表 s_xhs_traffic_analysis_ocr 中现有 1 行数据
2025-11-13 13:59:07.135 | DEBUG    | db.merge_sync:sync_to_local_sqlite:438 - 表 s_xhs_traffic_analysis_ocr 数据示例: [('110', '', '80.3%', '15.7%', '3.3%', '9.3', 20251112, '0', '14.6%', '752', '1894230222988058625', '2%', '172.25.1.41', 'http://xhslink.com/o/8sOLOcSMMhF', '', '6.6%', '1.8%', '2', '72.4%', '1944609540455948358', '1', '嘎子姐换脚教程来啦', '0', '图文')]
2025-11-13 13:59:07.135 | INFO     | db.merge_sync:sync_explore_data_merge_to_remote:169 - 融合数据已保存到本地SQLite数据库，表名: s_xhs_traffic_analysis_ocr，融合类型: unrelated
2025-11-13 13:59:07.136 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:52 - 使用数据库文件路径: D:\PycharmProjects\XHS-OCR\db\ocr_data.db
2025-11-13 13:59:07.136 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:69 - 数据库中已存在的表: ['s_xhs_note_data_overview_ocr', 'sqlite_sequence', 's_xhs_note_traffic_analysis_ocr', 's_xhs_user_info_ocr', 's_xhs_video_data_overview_bottom_ocr', 's_xhs_video_data_overview_top_ocr', 's_xhs_video_traffic_analysis_ocr', 's_xhs_traffic_analysis_ocr', 's_xhs_video_data_overview_ocr', 's_xhs_data_overview_ocr', 's_xhs_merged_data_ocr']
2025-11-13 13:59:07.136 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:97 - 执行查询: SELECT * FROM s_xhs_data_overview_ocr
2025-11-13 13:59:07.136 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:100 - 查询结果行数: 2
2025-11-13 13:59:07.136 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:104 - 列名: ['数据ID', '涨粉数', '分享数', '曝光数', '内容类型', '评论数', '账号ID', '弹幕数', '收藏数', '平均观看时长', '2秒退出率', '采集日期', '观看数', '作品标题', '点赞数', '数据来源', '封面点击率', '设备IP', '链接', '完播率']
2025-11-13 13:59:07.136 | INFO     | db.merge_sync:sync_explore_data_merge_to_remote:116 - 表 s_xhs_data_overview_ocr 查询到 2 行数据
2025-11-13 13:59:07.136 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:120 - 表 s_xhs_data_overview_ocr 前3行数据示例: [(1, '0', '0', '279', '视频', '0', '1944609540455948358', '0', '1', '5.2', '49%', 20251112, '59', '这个嘎子姐的星星卡点太美萌了', '3', '1894230222988058625', '10.4%', '172.25.1.41', 'http://xhslink.com/o/9lIlKBscMet', '16.3%'), (2, '0', '2', '3631', '图文', '9', '1944609540455948358', '', '4', '24.1', '', 20251112, '723', '嘎子姐的改装脚测评', '11', '1894230222988058625', '19.9%', '172.25.1.41', 'http://xhslink.com/o/2szuAHmkUXy', '')]
2025-11-13 13:59:07.136 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:97 - 执行查询: SELECT * FROM s_xhs_traffic_analysis_ocr
2025-11-13 13:59:07.136 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:100 - 查询结果行数: 1
2025-11-13 13:59:07.136 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:104 - 列名: ['观看数', '观看来源-视频推荐', '占总曝光', '观看来源-其他来源', '观看来源-搜索', '平均观看时长', '采集日期', '评论数', '观看转化率', '曝光数', '数据来源', '观看来源-关注页面', '设备IP', '链接', '观看来源-个人主页', '观看来源-首页推荐', '观看互动率', '点赞数', '占总观看', '账号ID', '数据ID', '作品标题', '收藏数', '内容类型']
2025-11-13 13:59:07.136 | INFO     | db.merge_sync:sync_explore_data_merge_to_remote:116 - 表 s_xhs_traffic_analysis_ocr 查询到 1 行数据
2025-11-13 13:59:07.136 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:120 - 表 s_xhs_traffic_analysis_ocr 前3行数据示例: [('110', '', '80.3%', '15.7%', '3.3%', '9.3', 20251112, '0', '14.6%', '752', '1894230222988058625', '2%', '172.25.1.41', 'http://xhslink.com/o/8sOLOcSMMhF', '', '6.6%', '1.8%', '2', '72.4%', '1944609540455948358', '1', '嘎子姐换脚教程来啦', '0', '图文')]
2025-11-13 13:59:07.136 | INFO     | db.merge_sync:sync_explore_data_merge_to_remote:133 - 开始进行 related 类型的数据融合，关联键: 账号ID, 设备IP, 采集日期, 链接
2025-11-13 13:59:07.137 | INFO     | db.merge_sync:sync_explore_data_merge_to_remote:134 - 融合后的表结构包含 30 列: ['2秒退出率', '封面点击率', '数据ID', '占总观看', '涨粉数', '数据来源', '内容类型', '观看来源-关注页面', '弹幕数', '收藏数', '占总曝光', '采集日期', '观看转化率', '点赞数', '平均观看时长', '观看来源-视频推荐', '观看来源-首页推荐', '观看互动率', '分享数', '观看来源-其他来源', '账号ID', '评论数', '观看来源-个人主页', '完播率', '观看来源-搜索', '曝光数', '链接', '设备IP', '作品标题', '观看数']
2025-11-13 13:59:07.137 | INFO     | db.merge_sync:merge_table_data_related:235 - 关联融合完成，共关联 0 个项目（具有来自多个表的数据）
2025-11-13 13:59:07.137 | INFO     | db.merge_sync:sync_explore_data_merge_to_remote:138 - 使用关联融合方式处理数据，融合后共有 3 行数据
2025-11-13 13:59:07.137 | DEBUG    | db.merge_sync:sync_explore_data_merge_to_remote:145 - 融合后前3行数据示例: [['49%', '10.4%', 1, '', '0', '1894230222988058625', '视频', '', '0', '1', '', 20251112, '', '3', '5.2', '', '', '', '0', '', '1944609540455948358', '0', '', '16.3%', '', '279', 'http://xhslink.com/o/9lIlKBscMet', '172.25.1.41', '这个嘎子姐的星星卡点太美萌了', '59'], ['', '19.9%', 2, '', '0', '1894230222988058625', '图文', '', '', '4', '', 20251112, '', '11', '24.1', '', '', '', '2', '', '1944609540455948358', '9', '', '', '', '3631', 'http://xhslink.com/o/2szuAHmkUXy', '172.25.1.41', '嘎子姐的改装脚测评', '723'], ['', '', '1', '72.4%', '', '1894230222988058625', '图文', '2%', '', '0', '80.3%', 20251112, '14.6%', '2', '9.3', '', '6.6%', '1.8%', '', '15.7%', '1944609540455948358', '0', '', '', '3.3%', '752', 'http://xhslink.com/o/8sOLOcSMMhF', '172.25.1.41', '嘎子姐换脚教程来啦', '110']]
2025-11-13 13:59:07.137 | DEBUG    | db.merge_sync:sync_to_local_sqlite:357 - 连接到SQLite数据库: D:\PycharmProjects\XHS-OCR\db\ocr_data.db
2025-11-13 13:59:07.138 | DEBUG    | db.merge_sync:sync_to_local_sqlite:367 - 表 s_xhs_merged_data_ocr 是否存在: True
2025-11-13 13:59:07.138 | INFO     | db.merge_sync:sync_to_local_sqlite:375 - 表 s_xhs_merged_data_ocr 已存在，检查是否需要新增字段...
2025-11-13 13:59:07.138 | DEBUG    | db.merge_sync:sync_to_local_sqlite:399 - 使用唯一键约束字段: "账号ID", "设备IP", "采集日期", "链接"
